Timestamp,LeftPosX,LeftPosY,LeftPosZ,LeftRotX,LeftRotY,LeftRotZ,LeftRotW,LeftVelX,LeftVelY,LeftVelZ,RightPosX,RightPosY,RightPosZ,RightRotX,RightRotY,RightRotZ,RightRotW,RightVelX,RightVelY,RightVelZ
111.8734,0.706591,1.469187,0.2613181,0.3464797,-0.8825415,-0.126643,-0.2916059,-0.3212517,0.5243953,0.4288277,0.2793544,1.495793,-0.0997456,-0.1828248,-0.8902453,-0.2372744,-0.3431318,-0.5077223,0.4203371,0.3548677
111.9872,0.6683869,1.507029,0.302082,0.3578112,-0.8658903,-0.1962615,-0.2892864,-0.345108,0.3449647,0.3481426,0.2363815,1.509416,-0.06708689,-0.1707411,-0.8965038,-0.2613523,-0.3143621,-0.3575657,0.1269616,0.2421286
112.0999,0.6357091,1.530039,0.3307505,0.3579193,-0.858507,-0.2481942,-0.2706644,-0.3315918,0.2518418,0.2706192,0.2102991,1.515876,-0.04007848,-0.1406311,-0.8987363,-0.2646364,-0.3200994,-0.2386165,0.08300999,0.2546619
112.2118,0.6068918,1.545972,0.3523819,0.3695477,-0.8436203,-0.2898404,-0.2602533,-0.2907038,0.1751618,0.2141268,0.1918792,1.528413,-0.008794818,-0.09878661,-0.8911366,-0.2844512,-0.3394176,-0.168709,0.13283,0.3058031
112.3251,0.5794032,1.556416,0.3725446,0.3597326,-0.837612,-0.3408811,-0.2297794,-0.2963018,0.1126496,0.2039212,0.1828536,1.538018,0.02396617,-0.06072844,-0.8711638,-0.307325,-0.3780702,-0.0651227,0.1100063,0.3216399
112.4379,0.5559987,1.557532,0.3905624,0.379938,-0.8210391,-0.3728098,-0.2062881,-0.2434188,0.02302675,0.1697553,0.1808266,1.541144,0.0523268,-0.04178092,-0.8363903,-0.3268524,-0.4380332,0.00224565,0.03006928,0.2953708
112.5504,0.542277,1.558791,0.4102158,0.3961895,-0.810134,-0.3816479,-0.202637,-0.1549995,0.02468507,0.1851649,0.1644793,1.549878,0.06822086,-0.008361414,-0.8207467,-0.3427329,-0.4569893,-0.151012,0.1065146,0.1527741
112.6632,0.5300419,1.567301,0.4338098,0.3858686,-0.799396,-0.4163316,-0.1968238,-0.128909,0.09187199,0.2359144,0.1436312,1.559848,0.08324106,0.06123699,-0.7895579,-0.3756618,-0.4813799,-0.2017082,0.1298928,0.1863837
112.7776,0.5146177,1.572097,0.4556115,0.3815521,-0.7811277,-0.4634683,-0.1716239,-0.1796807,0.06250282,0.222397,0.1219589,1.566951,0.1071819,0.1276943,-0.718989,-0.4319347,-0.5293216,-0.2413498,0.1049164,0.2997446
112.8915,0.498394,1.573903,0.4748831,0.3835129,-0.7622311,-0.5030919,-0.1371866,-0.1786661,0.02276251,0.1979867,0.1005669,1.568438,0.1280223,0.1748118,-0.640888,-0.4875709,-0.5665492,-0.2310309,0.03411675,0.2554987
113.0031,0.488917,1.573673,0.4906699,0.3863176,-0.7427136,-0.53456,-0.1156749,-0.09783716,-0.001710486,0.1570256,0.08596908,1.564146,0.1441345,0.1959543,-0.5717198,-0.5263135,-0.5981075,-0.1487635,-0.02453915,0.1893824
113.1163,0.4869007,1.572427,0.4986151,0.3861885,-0.7324793,-0.5507297,-0.1050208,-0.04479452,-0.01259191,0.1033373,0.07703059,1.561882,0.1530249,0.2130178,-0.5204353,-0.5527494,-0.6150111,-0.1339081,-0.01708786,0.1117865
113.2301,0.4973014,1.571484,0.5002709,0.3706148,-0.7318103,-0.5644339,-0.09226502,0.09181611,-0.007933132,0.03501845,0.07575743,1.562127,0.1345481,0.2517347,-0.5061015,-0.5462136,-0.618176,-0.06683289,0.009625461,-0.1813713
